,player_name,club,position,minutes_played,match_played,goals,assists,distance_covered,conceded,balls_recoverd,tackles,t_won,t_lost,clearance_attempted,corner_taken,offsides,dribbles,fouls_committed,fouls_suffered,yellow,red,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties,total_attempts,on_target,off_target,on_target_rate,blocked,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
24,Blanco,Real Madrid,Midfielder,6,1,0,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Alisson Becker,Liverpool,Goalkeeper,1170,13,0,0,68.8,14.0,,,,,,,,,,,,,,,,,,,,,,,,,89.7,461.0,415.0,0.0,0.0,0.0,16.0
26,Salah,Liverpool,Forward,1008,13,8,2,112.0,,12.0,0.0,0.0,0.0,0.0,0.0,5.0,49.0,4.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,1.0,1.0,42.0,22.0,11.0,0.5238095238095238,9.0,81.2,426.0,346.0,9.0,11.0,1.0,1.0
27,Fabinho,Liverpool,Midfielder,849,13,1,0,105.5,,74.0,23.0,9.0,14.0,8.0,,,,14.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.2,2.0,90.3,595.0,549.0,0.0,2.0,0.0,9.0
28,Robertson,Liverpool,Defender,826,10,0,2,97.7,,44.0,4.0,3.0,1.0,14.0,27.0,1.0,9.0,5.0,3.0,1.0,0.0,,,,,,,,5.0,2.0,2.0,0.4,1.0,81.1,628.0,512.0,25.0,63.0,16.0,22.0
29,Mané,Liverpool,Midfielder,822,13,5,1,100.3,,9.0,4.0,1.0,3.0,1.0,0.0,9.0,17.0,16.0,19.0,2.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,21.0,8.0,6.0,0.38095238095238093,7.0,79.0,278.0,219.0,30.0,10.0,3.0,1.0
30,Van Dijk,Liverpool,Defender,810,9,0,1,82.8,,62.0,3.0,2.0,1.0,29.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,,,,,,,,6.0,3.0,1.0,0.5,2.0,90.7,667.0,609.0,0.0,1.0,0.0,10.0
31,Alexander-Arnold,Liverpool,Defender,794,9,0,4,86.8,,51.0,1.0,0.0,1.0,18.0,36.0,0.0,9.0,5.0,6.0,2.0,0.0,,,,,,,,12.0,1.0,6.0,0.08333333333333333,5.0,80.0,685.0,556.0,29.0,81.0,24.0,28.0
32,Konaté,Liverpool,Defender,720,8,2,0,78.5,,53.0,16.0,11.0,5.0,17.0,,,,11.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,6.0,2.0,3.0,0.3333333333333333,1.0,89.5,515.0,465.0,0.0,0.0,0.0,16.0
33,Henderson,Liverpool,Midfielder,666,12,1,2,85.7,,29.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,4.0,4.0,0.3333333333333333,4.0,86.2,602.0,530.0,35.0,17.0,6.0,6.0
34,Matip,Liverpool,Defender,630,7,0,0,66.2,,34.0,5.0,1.0,4.0,15.0,,,,6.0,1.0,1.0,0.0,,,,,,,,5.0,2.0,2.0,0.4,1.0,94.2,498.0,467.0,0.0,0.0,0.0,14.0
35,Thiago Alcántara,Liverpool,Midfielder,604,10,1,0,77.9,,40.0,16.0,11.0,5.0,5.0,,,,5.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,3.0,6.0,0.3333333333333333,0.0,91.8,553.0,508.0,50.0,2.0,1.0,12.0
36,Diogo Jota,Liverpool,Forward,578,11,1,1,73.9,,13.0,7.0,2.0,5.0,1.0,0.0,4.0,19.0,11.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,16.0,7.0,4.0,0.4375,5.0,80.5,234.0,189.0,0.0,1.0,0.0,0.0
