,player_name,club,position,minutes_played,match_played,goals,assists,distance_covered,conceded,balls_recoverd,tackles,t_won,t_lost,clearance_attempted,corner_taken,offsides,dribbles,fouls_committed,fouls_suffered,yellow,red,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties,total_attempts,on_target,off_target,on_target_rate,blocked,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
91,Gilberto,Benfica,Defender,715,9,1,0,85.7,,48.0,17.0,8.0,9.0,17.0,,,,16.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.3333333333333333,2.0,79.8,291.0,232.0,30.0,13.0,4.0,9.0
92,Aaronson,Salzburg,Midfielder,715,8,0,2,103.5,,17.0,4.0,0.0,4.0,3.0,4.0,5.0,9.0,3.0,13.0,0.0,0.0,,,,,,,,9.0,3.0,2.0,0.3333333333333333,4.0,76.1,239.0,181.0,27.0,18.0,5.0,4.0
93,Rafa Silva,Benfica,Forward,704,9,1,1,85.7,,21.0,12.0,6.0,6.0,1.0,0.0,3.0,27.0,8.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,4.0,0.1111111111111111,4.0,76.1,187.0,145.0,37.0,8.0,3.0,2.0
94,Gravenberch,Ajax,Midfielder,703,8,0,1,89.1,,30.0,4.0,3.0,1.0,10.0,15.0,1.0,18.0,17.0,11.0,1.0,0.0,,,,,,,,9.0,5.0,2.0,0.5555555555555556,2.0,87.4,386.0,342.0,0.0,9.0,0.0,9.0
95,Kimmich,Bayern,Midfielder,702,8,0,0,96.4,,41.0,15.0,6.0,9.0,3.0,,,,3.0,17.0,1.0,0.0,,,,,,,,8.0,2.0,2.0,0.25,4.0,89.5,688.0,616.0,35.0,48.0,17.0,31.0
96,Marcos Llorente,Atlético,Midfielder,700,9,0,0,83.6,,37.0,6.0,0.0,6.0,8.0,,,,13.0,10.0,3.0,0.0,,,,,,,,2.0,1.0,1.0,0.5,0.0,80.7,249.0,212.0,10.0,10.0,1.0,1.0
97,Azpilicueta,Chelsea,Defender,679,9,1,1,82.0,,26.0,6.0,3.0,3.0,9.0,0.0,0.0,3.0,9.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,88.0,491.0,434.0,15.0,19.0,3.0,3.0
98,David,LOSC,Forward,679,8,3,0,86.1,,11.0,1.0,1.0,0.0,1.0,,,,4.0,12.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,12.0,5.0,5.0,0.4166666666666667,2.0,82.4,148.0,122.0,100.0,3.0,3.0,1.0
99,Mbappé,Paris,Forward,673,8,6,4,65.2,,10.0,1.0,0.0,1.0,2.0,4.0,8.0,43.0,3.0,11.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,27.0,16.0,6.0,0.5925925925925926,5.0,85.4,257.0,220.0,13.0,15.0,2.0,0.0
100,Havertz,Chelsea,Midfielder,672,9,3,0,86.3,,7.0,3.0,0.0,3.0,6.0,,,,12.0,9.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,26.0,11.0,9.0,0.4230769230769231,6.0,86.1,248.0,210.0,66.0,3.0,2.0,0.0
101,Camara,Salzburg,Midfielder,672,8,0,0,80.9,,41.0,14.0,7.0,7.0,4.0,,,,14.0,23.0,2.0,0.0,,,,,,,,3.0,0.0,3.0,0.0,0.0,86.5,369.0,325.0,0.0,1.0,0.0,18.0
102,Haller,Ajax,Forward,668,8,11,1,82.2,,10.0,8.0,2.0,6.0,5.0,0.0,3.0,9.0,17.0,11.0,1.0,0.0,3.0,4.0,3.0,1.0,11.0,0.0,1.0,24.0,15.0,8.0,0.625,1.0,80.8,162.0,134.0,0.0,0.0,0.0,0.0
103,Bastoni,Inter,Defender,666,8,0,0,76.6,,46.0,7.0,2.0,5.0,18.0,,,,11.0,8.0,2.0,0.0,,,,,,,,1.0,0.0,1.0,0.0,0.0,89.0,432.0,387.0,18.0,11.0,2.0,18.0
104,Koke,Atlético,Midfielder,665,9,0,1,91.2,,30.0,11.0,8.0,3.0,7.0,4.0,0.0,2.0,7.0,11.0,1.0,0.0,,,,,,,,3.0,0.0,2.0,0.0,1.0,81.1,308.0,252.0,0.0,3.0,0.0,6.0
105,Rúben Dias,Man. City,Defender,664,8,0,0,83.1,,45.0,11.0,1.0,10.0,16.0,,,,6.0,1.0,0.0,0.0,,,,,,,,4.0,1.0,0.0,0.25,3.0,92.6,464.0,431.0,0.0,0.0,0.0,8.0
106,Mazraoui,Ajax,Defender,661,8,0,2,81.5,,40.0,16.0,10.0,6.0,9.0,0.0,0.0,13.0,9.0,8.0,1.0,0.0,,,,,,,,9.0,3.0,3.0,0.3333333333333333,3.0,86.9,385.0,338.0,36.0,19.0,7.0,7.0
107,Gündoğan,Man. City,Midfielder,660,10,0,2,86.4,,13.0,6.0,0.0,6.0,2.0,16.0,1.0,3.0,4.0,7.0,1.0,0.0,,,,,,,,14.0,2.0,4.0,0.14285714285714285,8.0,90.8,406.0,367.0,33.0,15.0,5.0,7.0
108,Upamecano,Bayern,Defender,660,8,0,0,82.3,,46.0,4.0,1.0,3.0,16.0,,,,10.0,5.0,3.0,0.0,,,,,,,,2.0,0.0,1.0,0.0,1.0,93.1,562.0,519.0,0.0,2.0,0.0,11.0
109,Foden,Man. City,Midfielder,658,11,3,2,89.1,,10.0,5.0,1.0,4.0,0.0,13.0,6.0,12.0,5.0,10.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,22.0,9.0,7.0,0.4090909090909091,6.0,81.1,287.0,238.0,26.0,23.0,6.0,3.0
110,Seiwald,Salzburg,Midfielder,649,8,0,1,85.3,,44.0,18.0,6.0,12.0,9.0,18.0,1.0,5.0,19.0,3.0,2.0,0.0,,,,,,,,4.0,3.0,0.0,0.75,1.0,69.0,258.0,190.0,20.0,25.0,5.0,9.0
111,Estupiñán,Villarreal,Defender,645,10,0,0,76.4,,52.0,8.0,4.0,4.0,31.0,,,,7.0,3.0,2.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,83.2,282.0,229.0,28.0,14.0,4.0,3.0
112,Stones,Man. City,Defender,637,8,0,0,73.2,,33.0,1.0,1.0,0.0,8.0,,,,3.0,3.0,1.0,0.0,,,,,,,,6.0,1.0,4.0,0.16666666666666666,1.0,94.4,545.0,523.0,0.0,1.0,0.0,8.0
113,Brozović,Inter,Midfielder,635,8,1,0,89.3,,38.0,15.0,6.0,9.0,6.0,,,,5.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,1.0,4.0,0.09090909090909091,6.0,90.6,559.0,506.0,75.0,8.0,6.0,26.0
114,Coman,Bayern,Forward,632,9,2,3,76.3,,14.0,2.0,0.0,2.0,4.0,4.0,4.0,59.0,6.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,20.0,6.0,10.0,0.3,4.0,84.2,329.0,271.0,30.0,42.0,13.0,0.0
115,Messi,Paris,Forward,630,7,5,0,58.7,,7.0,2.0,1.0,1.0,1.0,,,,3.0,11.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,2.0,2.0,26.0,10.0,8.0,0.38461538461538464,8.0,89.9,428.0,385.0,35.0,14.0,5.0,12.0
116,Tadić,Ajax,Forward,630,7,2,2,78.9,,12.0,2.0,0.0,2.0,1.0,5.0,5.0,13.0,11.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,12.0,3.0,4.0,0.25,5.0,75.7,303.0,231.0,43.0,44.0,19.0,8.0
117,André,LOSC,Midfielder,630,7,0,0,80.0,,49.0,24.0,12.0,12.0,11.0,,,,9.0,10.0,3.0,0.0,,,,,,,,5.0,1.0,1.0,0.2,3.0,82.0,352.0,289.0,0.0,4.0,0.0,7.0
118,Kimpembe,Paris,Defender,630,7,0,0,64.4,,26.0,9.0,4.0,5.0,32.0,,,,8.0,6.0,3.0,0.0,,,,,,,,,,,,,93.3,376.0,352.0,0.0,0.0,0.0,15.0
119,Adán,Sporting CP,Goalkeeper,630,7,0,0,36.3,13.0,,,,,,,,,,,,,,,,,,,,,,,,,70.2,233.0,166.0,0.0,0.0,0.0,34.0
120,Szczęsny,Juventus,Goalkeeper,630,7,0,0,31.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,84.0,176.0,145.0,0.0,0.0,0.0,8.0
121,De Gea,Man. United,Goalkeeper,630,7,0,0,26.4,9.0,,,,,,,,,,,,,,,,,,,,,,,,,74.6,164.0,121.0,0.0,0.0,0.0,9.0
122,Berghuis,Ajax,Forward,628,8,3,1,79.8,,14.0,6.0,2.0,4.0,3.0,15.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,16.0,5.0,6.0,0.3125,5.0,82.0,277.0,229.0,32.0,28.0,9.0,2.0
123,De Ligt,Juventus,Defender,627,7,0,0,71.5,,49.0,5.0,4.0,1.0,24.0,,,,3.0,2.0,2.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,87.6,346.0,307.0,100.0,1.0,1.0,8.0
124,Núñez,Benfica,Forward,613,10,6,0,72.4,,10.0,4.0,2.0,2.0,7.0,,,,6.0,7.0,1.0,0.0,5.0,0.0,1.0,0.0,6.0,0.0,1.0,15.0,8.0,7.0,0.5333333333333333,0.0,56.4,117.0,67.0,22.0,18.0,4.0,2.0
125,Matheus Reis,Sporting CP,Defender,611,8,0,0,75.3,,23.0,9.0,6.0,3.0,10.0,,,,6.0,8.0,0.0,0.0,,,,,,,,4.0,0.0,3.0,0.0,1.0,84.1,224.0,192.0,16.0,6.0,1.0,6.0
126,Ronaldo,Man. United,Forward,611,7,6,0,59.2,,5.0,3.0,1.0,2.0,6.0,,,,4.0,11.0,1.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,0.0,22.0,12.0,8.0,0.5454545454545454,2.0,87.2,204.0,179.0,60.0,5.0,3.0,4.0
127,Adeyemi,Salzburg,Forward,607,8,3,1,69.2,,8.0,4.0,1.0,3.0,0.0,0.0,0.0,23.0,9.0,18.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,16.0,10.0,3.0,0.625,3.0,53.1,90.0,49.0,28.0,7.0,2.0,1.0
128,Christensen,Chelsea,Defender,603,8,1,1,62.6,,41.0,10.0,6.0,4.0,14.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.6666666666666666,1.0,93.4,552.0,517.0,50.0,2.0,1.0,7.0
129,Zeki Çelik,LOSC,Defender,591,7,0,1,71.3,,29.0,8.0,4.0,4.0,8.0,0.0,1.0,5.0,6.0,3.0,1.0,0.0,,,,,,,,4.0,0.0,4.0,0.0,0.0,78.0,297.0,233.0,33.0,12.0,4.0,9.0
130,Martínez,Inter,Forward,587,8,1,0,67.4,,13.0,11.0,4.0,7.0,0.0,,,,7.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,7.0,10.0,0.25,11.0,81.1,121.0,97.0,0.0,1.0,0.0,0.0
131,Giménez,Atlético,Defender,585,7,0,0,63.3,,35.0,4.0,2.0,2.0,23.0,,,,4.0,3.0,1.0,0.0,,,,,,,,5.0,0.0,4.0,0.0,1.0,78.9,211.0,175.0,0.0,0.0,0.0,10.0
132,Paulinho,Sporting CP,Forward,582,8,3,1,68.2,,12.0,3.0,0.0,3.0,4.0,0.0,5.0,8.0,5.0,14.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,16.0,8.0,7.0,0.5,1.0,74.8,139.0,105.0,0.0,3.0,0.0,0.0
133,Sterling,Man. City,Forward,581,12,3,2,71.1,,7.0,3.0,0.0,3.0,0.0,0.0,6.0,14.0,14.0,10.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,17.0,6.0,9.0,0.35294117647058826,2.0,88.4,206.0,185.0,12.0,8.0,1.0,1.0
134,Nuno Mendes,Paris,Defender,581,8,0,0,62.2,,25.0,5.0,4.0,1.0,12.0,,,,5.0,10.0,1.0,0.0,,,,,,,,2.0,2.0,0.0,1.0,0.0,83.6,258.0,220.0,16.0,12.0,2.0,3.0
135,Bonucci,Juventus,Defender,580,7,0,0,60.6,,36.0,6.0,2.0,4.0,17.0,,,,,,,,,,,,,,,,,,,,89.3,434.0,391.0,0.0,0.0,0.0,15.0
136,Kondogbia,Atlético,Midfielder,578,9,0,0,71.3,,40.0,15.0,6.0,9.0,7.0,,,,5.0,11.0,2.0,0.0,,,,,,,,6.0,1.0,4.0,0.16666666666666666,1.0,84.5,242.0,209.0,0.0,1.0,0.0,9.0
137,De Paul,Atlético,Midfielder,577,9,1,0,74.5,,25.0,6.0,1.0,5.0,9.0,,,,12.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,4.0,6.0,0.3076923076923077,3.0,75.8,293.0,228.0,29.0,17.0,5.0,19.0
138,Antony,Ajax,Forward,577,7,2,5,65.1,,25.0,7.0,3.0,4.0,2.0,3.0,4.0,28.0,5.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,26.0,10.0,9.0,0.38461538461538464,7.0,81.9,322.0,262.0,18.0,27.0,5.0,2.0
139,Walker,Man. City,Defender,577,7,1,0,64.1,,34.0,3.0,1.0,2.0,11.0,,,,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.5,1.0,86.6,397.0,347.0,9.0,11.0,1.0,2.0
140,João Félix,Atlético,Forward,573,8,1,1,68.5,,5.0,6.0,1.0,5.0,7.0,1.0,3.0,21.0,4.0,13.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,3.0,7.0,0.25,2.0,81.3,160.0,131.0,50.0,2.0,1.0,0.0
141,Wöber,Salzburg,Defender,573,7,1,0,66.5,,39.0,14.0,6.0,8.0,36.0,,,,7.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,4.0,0.25,2.0,79.0,314.0,255.0,0.0,2.0,0.0,12.0
142,Blind,Ajax,Defender,572,8,1,1,70.9,,32.0,11.0,4.0,7.0,8.0,0.0,1.0,8.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,0.5,1.0,83.9,439.0,368.0,53.0,15.0,8.0,17.0
143,L. Hernández,Bayern,Defender,572,8,0,0,69.4,,49.0,9.0,6.0,3.0,15.0,,,,11.0,6.0,2.0,0.0,,,,,,,,6.0,1.0,4.0,0.16666666666666666,1.0,92.0,543.0,496.0,37.0,8.0,3.0,12.0
144,J. Timber,Ajax,Midfielder,570,8,0,0,64.9,,35.0,6.0,2.0,4.0,12.0,,,,10.0,6.0,3.0,0.0,,,,,,,,2.0,0.0,2.0,0.0,0.0,95.8,497.0,474.0,0.0,1.0,0.0,14.0
145,Jorginho,Chelsea,Midfielder,561,8,2,2,68.7,,38.0,7.0,5.0,2.0,2.0,1.0,0.0,1.0,9.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,1.0,0.5,1.0,91.5,519.0,477.0,50.0,4.0,2.0,12.0
146,Gonçalo Inácio,Sporting CP,Defender,561,7,0,1,60.7,,28.0,4.0,3.0,1.0,16.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,,,,,,,,1.0,0.0,1.0,0.0,0.0,91.4,271.0,246.0,0.0,0.0,0.0,17.0
147,Álvarez,Ajax,Midfielder,558,7,0,0,73.0,,29.0,19.0,10.0,9.0,7.0,,,,17.0,6.0,4.0,0.0,,,,,,,,7.0,2.0,4.0,0.2857142857142857,1.0,93.3,363.0,340.0,0.0,1.0,0.0,7.0
148,Alex Sandro,Juventus,Defender,553,7,1,0,69.0,,32.0,11.0,4.0,7.0,11.0,,,,8.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,5.0,0.16666666666666666,0.0,86.9,325.0,284.0,14.0,7.0,1.0,11.0
149,Alonso,Chelsea,Defender,548,8,0,0,68.9,,17.0,3.0,1.0,2.0,4.0,,,,11.0,7.0,1.0,0.0,,,,,,,,12.0,4.0,4.0,0.3333333333333333,4.0,86.3,300.0,258.0,38.0,34.0,13.0,10.0
150,Everton,Benfica,Forward,543,9,0,0,67.1,,13.0,7.0,5.0,2.0,2.0,,,,6.0,9.0,0.0,0.0,,,,,,,,9.0,4.0,4.0,0.4444444444444444,1.0,78.7,115.0,87.0,44.0,9.0,4.0,0.0
151,Džeko,Inter,Forward,541,7,3,1,64.6,,6.0,0.0,0.0,0.0,5.0,0.0,2.0,4.0,3.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,25.0,12.0,6.0,0.48,7.0,72.9,157.0,116.0,0.0,6.0,0.0,1.0
152,Vanaken,Club Brugge,Midfielder,540,6,3,1,69.4,,22.0,1.0,0.0,1.0,3.0,2.0,0.0,7.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,6.0,1.0,0.5,5.0,83.8,288.0,241.0,100.0,1.0,1.0,7.0
153,S. Thill,Sheriff,Midfielder,540,6,2,1,76.8,,14.0,12.0,6.0,6.0,16.0,9.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,13.0,6.0,5.0,0.46153846153846156,2.0,81.2,206.0,167.0,23.0,17.0,4.0,18.0
154,Coates,Sporting CP,Defender,540,6,2,0,50.9,,28.0,6.0,2.0,4.0,29.0,,,,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,2.0,4.0,0.2857142857142857,1.0,87.0,240.0,211.0,0.0,0.0,0.0,10.0
155,Arnold,Wolfsburg,Midfielder,540,6,0,3,67.3,,30.0,5.0,2.0,3.0,8.0,10.0,0.0,1.0,10.0,9.0,3.0,0.0,,,,,,,,5.0,1.0,3.0,0.2,1.0,78.7,266.0,210.0,38.0,18.0,7.0,25.0
156,Cristiano,Sheriff,Defender,540,6,0,3,63.2,,18.0,8.0,3.0,5.0,18.0,0.0,1.0,7.0,4.0,3.0,1.0,0.0,,,,,,,,3.0,1.0,2.0,0.3333333333333333,0.0,73.3,159.0,117.0,42.0,21.0,9.0,4.0
157,Zabarnyi,Dynamo Kyiv,Defender,540,6,0,0,67.1,,26.0,4.0,2.0,2.0,26.0,,,,5.0,8.0,1.0,0.0,,,,,,,,2.0,0.0,2.0,0.0,0.0,90.2,241.0,221.0,0.0,1.0,0.0,10.0
158,Fernando,Sevilla,Midfielder,540,6,0,0,66.6,,51.0,3.0,1.0,2.0,6.0,,,,6.0,6.0,1.0,0.0,,,,,,,,,,,,,86.0,293.0,253.0,0.0,1.0,0.0,10.0
159,Fernando Costanza,Sheriff,Defender,540,6,0,0,64.6,,39.0,19.0,13.0,6.0,39.0,,,,6.0,8.0,2.0,0.0,,,,,,,,2.0,0.0,1.0,0.0,1.0,65.5,136.0,92.0,18.0,11.0,2.0,4.0
160,Dodô,Shakhtar Donetsk,Defender,540,6,0,0,64.5,,37.0,10.0,6.0,4.0,8.0,,,,5.0,8.0,0.0,0.0,,,,,,,,7.0,2.0,4.0,0.2857142857142857,1.0,88.2,289.0,256.0,10.0,10.0,1.0,11.0
161,Barrios,Zenit,Midfielder,540,6,0,0,61.5,,41.0,11.0,7.0,4.0,13.0,,,,6.0,9.0,1.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,91.7,306.0,282.0,0.0,2.0,0.0,8.0
162,Lacroix,Wolfsburg,Defender,540,6,0,0,61.3,,35.0,1.0,1.0,0.0,30.0,,,,5.0,6.0,2.0,0.0,,,,,,,,2.0,0.0,2.0,0.0,0.0,81.8,284.0,232.0,0.0,0.0,0.0,22.0
163,Hendry,Club Brugge,Defender,540,6,0,0,61.0,,42.0,6.0,4.0,2.0,18.0,,,,4.0,2.0,0.0,0.0,,,,,,,,2.0,1.0,0.0,0.5,1.0,84.2,175.0,148.0,0.0,1.0,0.0,9.0
164,Arboleda,Sheriff,Defender,540,6,0,0,53.3,,30.0,1.0,0.0,1.0,37.0,,,,1.0,1.0,1.0,0.0,,,,,,,,1.0,0.0,1.0,0.0,0.0,84.8,145.0,124.0,0.0,0.0,0.0,6.0
165,Dulanto,Sheriff,Defender,540,6,0,0,53.0,,32.0,11.0,3.0,8.0,39.0,,,,5.0,1.0,3.0,0.0,,,,,,,,3.0,0.0,3.0,0.0,0.0,81.3,195.0,162.0,0.0,0.0,0.0,11.0
166,Bounou,Sevilla,Goalkeeper,540,6,0,0,37.2,5.0,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,82.2,185.0,152.0,0.0,1.0,0.0,12.0
167,Kobel,Dortmund,Goalkeeper,540,6,0,0,35.4,11.0,,,,,,,,,,,,,,,,,,,,,,,,,87.5,175.0,152.0,0.0,0.0,0.0,8.0
168,Mignolet,Club Brugge,Goalkeeper,540,6,0,0,33.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,78.7,216.0,166.0,0.0,0.0,0.0,18.0
169,Musso,Atalanta,Goalkeeper,540,6,0,0,32.7,13.0,,,,,,,,,,,,,,,,,,,,,,,,,76.0,158.0,120.0,0.0,0.0,0.0,11.0
170,Pasveer,Ajax,Goalkeeper,540,6,0,0,32.7,6.0,,,,,,,,,,,,,,,,,,,,,,,,,86.2,232.0,200.0,0.0,0.0,0.0,5.0
171,Grbić,LOSC,Goalkeeper,540,6,0,0,31.9,4.0,,,,,,,,,,,,,,,,,,,,,,,,,50.7,165.0,85.0,0.0,0.0,0.0,24.0
172,Diogo Costa,Porto,Goalkeeper,540,6,0,0,31.7,11.0,,,,,,,,,,,,,,,,,,,,,,,,,64.8,269.0,173.0,0.0,0.0,0.0,33.0
173,Ter Stegen,Barcelona,Goalkeeper,540,6,0,0,29.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,88.7,213.0,188.0,0.0,0.0,0.0,12.0
174,Locatelli,Juventus,Midfielder,539,7,0,0,69.8,,24.0,15.0,7.0,8.0,1.0,,,,7.0,5.0,1.0,0.0,,,,,,,,8.0,0.0,6.0,0.0,2.0,85.6,363.0,316.0,33.0,3.0,1.0,12.0
175,Diego Carlos,Sevilla,Defender,539,6,0,0,58.7,,41.0,3.0,1.0,2.0,20.0,,,,1.0,3.0,2.0,0.0,,,,,,,,4.0,1.0,3.0,0.25,0.0,90.2,414.0,374.0,0.0,0.0,0.0,11.0
176,Mount,Chelsea,Midfielder,538,7,1,2,60.3,,17.0,4.0,1.0,3.0,0.0,7.0,0.0,6.0,10.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,3.0,5.0,0.2727272727272727,3.0,83.9,268.0,225.0,25.0,27.0,7.0,2.0
177,Rabiot,Juventus,Midfielder,536,7,0,0,67.6,,27.0,11.0,6.0,5.0,5.0,,,,6.0,4.0,2.0,0.0,,,,,,,,8.0,2.0,4.0,0.25,2.0,89.0,267.0,243.0,20.0,5.0,1.0,0.0
178,Sydorchuk,Dynamo Kyiv,Midfielder,536,6,0,0,69.1,,37.0,5.0,3.0,2.0,8.0,,,,3.0,4.0,2.0,0.0,,,,,,,,3.0,1.0,2.0,0.3333333333333333,0.0,87.0,297.0,262.0,0.0,1.0,0.0,13.0
179,Maguire,Man. United,Defender,534,6,1,0,49.3,,30.0,5.0,1.0,4.0,17.0,,,,6.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.5,1.0,89.7,346.0,311.0,0.0,2.0,0.0,16.0
180,João Palhinha,Sporting CP,Midfielder,534,6,0,0,66.4,,36.0,29.0,11.0,18.0,6.0,,,,23.0,17.0,2.0,0.0,,,,,,,,4.0,1.0,2.0,0.25,1.0,85.0,194.0,165.0,0.0,1.0,0.0,14.0
181,Tiago Djaló,LOSC,Defender,533,7,0,0,60.5,,39.0,8.0,6.0,2.0,24.0,,,,5.0,8.0,1.0,0.0,,,,,,,,1.0,0.0,1.0,0.0,0.0,83.4,276.0,236.0,0.0,3.0,0.0,3.0
182,Moumi Ngamaleu,Young Boys,Midfielder,532,6,1,1,57.2,,28.0,6.0,3.0,3.0,5.0,1.0,0.0,34.0,10.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,2.0,5.0,0.18181818181818182,4.0,83.2,192.0,159.0,11.0,18.0,2.0,1.0
183,Perišić,Inter,Midfielder,531,8,0,1,65.5,,31.0,1.0,1.0,0.0,13.0,0.0,2.0,13.0,6.0,1.0,0.0,0.0,,,,,,,,15.0,4.0,7.0,0.26666666666666666,4.0,79.8,219.0,168.0,25.0,47.0,12.0,0.0
184,Nkunku,Leipzig,Midfielder,531,6,7,0,62.8,,15.0,4.0,1.0,3.0,2.0,,,,10.0,8.0,0.0,0.0,3.0,1.0,3.0,0.0,7.0,0.0,0.0,17.0,11.0,4.0,0.6470588235294118,2.0,86.3,193.0,167.0,20.0,15.0,3.0,8.0
185,Traore,Sheriff,Midfielder,530,6,2,1,64.4,,17.0,5.0,0.0,5.0,8.0,0.0,1.0,13.0,8.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,11.0,4.0,6.0,0.36363636363636365,1.0,78.0,105.0,83.0,33.0,3.0,1.0,1.0
186,Burak Yılmaz,LOSC,Forward,529,7,3,0,56.2,,2.0,1.0,0.0,1.0,1.0,,,,8.0,11.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,,,,,,66.6,130.0,91.0,16.0,12.0,2.0,9.0
187,Pedro Porro,Sporting CP,Defender,529,7,1,0,60.9,,19.0,2.0,1.0,1.0,8.0,,,,6.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,3.0,2.0,0.375,3.0,65.4,207.0,135.0,8.0,25.0,2.0,6.0
188,Lang,Club Brugge,Forward,528,6,0,1,68.9,,16.0,7.0,3.0,4.0,3.0,12.0,5.0,17.0,2.0,8.0,3.0,0.0,,,,,,,,10.0,5.0,2.0,0.5,3.0,71.3,214.0,152.0,4.0,24.0,1.0,8.0
189,Clinton Mata,Club Brugge,Defender,528,6,0,0,59.9,,22.0,8.0,4.0,4.0,14.0,,,,7.0,10.0,1.0,0.0,,,,,,,,2.0,1.0,1.0,0.5,0.0,70.3,200.0,144.0,27.0,11.0,3.0,10.0
190,Freuler,Atalanta,Midfielder,526,6,1,1,71.6,,30.0,10.0,6.0,4.0,8.0,0.0,0.0,6.0,6.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,84.2,360.0,307.0,33.0,3.0,1.0,11.0
191,Depay,Barcelona,Forward,525,6,0,0,64.4,,2.0,4.0,2.0,2.0,0.0,,,,3.0,6.0,0.0,0.0,,,,,,,,6.0,0.0,1.0,0.0,5.0,80.3,254.0,203.0,37.0,40.0,15.0,8.0
192,Gerard Moreno,Villarreal,Forward,524,7,2,4,65.7,,9.0,2.0,0.0,2.0,5.0,0.0,3.0,9.0,3.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,21.0,6.0,9.0,0.2857142857142857,6.0,66.2,163.0,110.0,16.0,6.0,1.0,2.0
