,Igrač,Klub,Pozicija,Broj_minuta,Broj_mečeva,Golovi,Asistencije,Broj_faulova,Golovi_desnom,Golovi_lijevom,Golovi_glavom,Drugačiji_golovi,Iz_šesnaesterca,Van_šesnaesterca,Penali,Šutevi,Unutar_okvira
65,Traore,Sheriff Tiraspol,Sredina,530,6,2,1,8,0,1,1,0,2,0,0,11,4
66,Pedro Porro,Sporting CP,Odbrana,529,7,1,0,6,0,0,0,1,1,0,0,8,3
67,Freuler,Atalanta,Sredina,526,6,1,1,6,1,0,0,0,1,0,0,2,2
68,Gerard Moreno,Villarreal,Napad,524,7,2,4,3,0,1,1,0,2,0,1,21,6
69,Morata,Juventus,Napad,520,7,2,0,5,1,1,0,0,2,0,0,18,7
70,Griezmann,Atlético Madrid,Napad,518,9,4,2,6,0,4,0,0,4,0,0,12,5
71,Sučić,Red Bull Salzburg,Sredina,516,8,1,0,4,0,1,0,0,1,0,1,12,2
72,Yaremchuk,Benfica,Napad,514,10,3,0,2,0,2,1,0,3,0,0,15,9
73,Sarabia,Sporting CP,Napad,510,8,2,0,3,1,1,0,0,2,0,1,6,4
74,James,Chelsea,Odbrana,505,6,1,0,5,1,0,0,0,1,0,0,12,5
75,Bellingham,Borussia Dortmund,Sredina,503,6,1,3,8,1,0,0,0,1,0,0,13,4
76,Reus,Borussia Dortmund,Sredina,499,6,3,1,4,3,0,0,0,3,0,2,15,9
77,Rakitskyy,Zenit,Odbrana,497,6,1,2,2,0,1,0,0,1,0,1,7,3
78,Taremi,Porto,Napad,494,6,1,1,9,0,0,1,0,1,0,0,17,3
79,Elia,Young Boys,Napad,489,6,1,0,6,1,0,0,0,1,0,0,10,3
80,De Vrij,Inter Milan,Odbrana,487,6,1,0,5,1,0,0,0,1,0,0,4,3
81,Mukiele,Leipzig,Odbrana,484,6,1,1,9,1,0,0,0,1,0,0,5,2
82,Wendel,Zenit,Sredina,484,6,1,0,4,1,0,0,0,1,0,0,7,4
83,Renan Lodi,Atlético Madrid,Odbrana,478,10,1,2,14,0,0,1,0,1,0,0,4,2
84,Zapata,Atalanta,Napad,464,6,3,3,7,2,1,0,0,3,0,0,22,8
85,Coquelin,Villarreal,Sredina,463,8,1,0,9,0,0,1,0,1,0,0,3,2
86,Ocampos,Sevilla,Sredina,463,6,1,1,4,1,0,0,0,1,0,0,12,3
87,Grealish,Man. City,Sredina,461,7,1,1,9,1,0,0,0,1,0,0,10,3
88,Claudinho,Zenit,Sredina,460,6,2,0,7,1,0,1,0,2,0,0,13,4
89,Palomino,Atalanta,Odbrana,450,5,1,1,5,0,1,0,0,1,0,0,3,1
90,Musiala,Bayern Munchen,Sredina,448,8,1,1,5,0,1,0,0,1,0,0,10,3
91,Ziyech,Chelsea,Sredina,446,9,1,2,13,0,1,0,0,1,0,0,13,6
92,Pino,Villarreal,Napad,431,7,1,0,7,0,0,1,0,1,0,0,4,2
93,Tomori,AC Milan,Odbrana,418,5,1,0,7,1,0,0,0,1,0,0,3,2
94,Rits,Club Brugge,Sredina,417,6,2,0,2,1,1,0,0,2,0,0,8,4
95,Baku,Wolfsburg,Sredina,413,6,1,0,3,1,0,0,0,1,0,0,2,1
96,André Silva,Leipzig,Napad,410,6,3,2,8,2,0,1,0,3,0,0,21,10
97,Vidal,Inter Milan,Sredina,409,7,1,2,10,0,1,0,0,1,0,0,3,2
98,Correa,Atlético Madrid,Napad,401,10,1,0,10,1,0,0,0,1,0,0,9,3
99,Gueye,PSG,Sredina,400,7,1,0,10,1,0,0,0,1,0,0,4,2
100,Piqué,Barcelona,Odbrana,393,5,1,0,8,1,0,0,0,1,0,0,2,1
101,Malen,Borussia Dortmund,Napad,392,6,3,0,6,1,2,0,0,3,0,0,11,5
102,Gnabry,Bayern Munchen,Napad,391,8,3,2,3,2,0,0,0,3,0,0,18,8
103,Hefti,Young Boys,Odbrana,386,6,1,1,9,0,1,0,0,0,1,0,2,1
104,Forsberg,Leipzig,Napad,385,6,2,2,6,2,0,0,0,1,1,1,11,4
105,Demiral,Atalanta,Odbrana,370,6,1,0,4,0,0,1,0,1,0,0,2,2
106,Gonçalo Ramos,Benfica,Napad,369,7,1,1,8,1,0,0,0,1,0,0,10,2
107,Pulišić,Chelsea,Sredina,367,7,2,1,4,2,0,0,0,2,0,0,6,2
108,Larin,Beşiktaş,Napad,354,5,1,0,7,0,0,1,0,1,0,0,8,5
